VoltageCHA,VoltageDCA,Voltage,SOC,Ah
2.8583,2.7126,2.78545,0.280898165290774,0.00967624686653967
2.859,2.7129,2.78595,0.282543417914355,0.00973292174915097
2.8596,2.7129,2.78625,0.284188676054083,0.00978959682177993
2.8599,2.7132,2.78655,0.285833934193812,0.0098462718944089
2.8605,2.7139,2.7872,0.287479186817392,0.00990294677702019
2.8611,2.7139,2.7875,0.28912444495712,0.00995962184964916
2.8617,2.7142,2.78795,0.2907696975807,0.0100162967322605
2.8621,2.7142,2.78815,0.292414955720429,0.0100729718048894
2.8627,2.7145,2.7886,0.294059971946007,0.0101296385441744
2.863,2.7148,2.7889,0.295704740742906,0.0101862967601535
2.8639,2.7148,2.78935,0.297349756968484,0.0102429634994384
2.8642,2.7151,2.78965,0.298995015108212,0.0102996385720674
2.8648,2.7151,2.78995,0.300640025818451,0.0103563051213625
2.8655,2.7157,2.7906,0.302285042044028,0.0104129718606475
2.8661,2.7157,2.7909,0.303930294667608,0.0104696467432588
2.8664,2.7157,2.79105,0.305575552807337,0.0105263218158878
2.867,2.716,2.7915,0.307220810947066,0.0105829968885167
2.8676,2.7167,2.79215,0.308865821657304,0.0106396634378119
2.8679,2.7163,2.7921,0.31051059596873,0.0106963218437528
2.8683,2.7167,2.7925,0.312155606678969,0.0107529883930479
2.8689,2.717,2.79295,0.313800864818697,0.0108096634656769
2.8695,2.717,2.79325,0.315445881044275,0.0108663302049619
2.8701,2.7173,2.7937,0.317090649841174,0.010922988420941
2.8704,2.7173,2.79385,0.318735666066752,0.0109796551602259
2.871,2.7176,2.7943,0.320380924206481,0.0110363302328549
2.872,2.7179,2.79495,0.322026176830061,0.0110930051154662
2.8723,2.7182,2.79525,0.323671434969789,0.0111496801880951
2.8726,2.7182,2.7954,0.325316687593369,0.0112063550707064
2.8732,2.7185,2.79585,0.326961703818947,0.0112630218099914
2.8735,2.7188,2.79615,0.328606720044525,0.0113196885492763
2.8741,2.7188,2.79645,0.330251972668105,0.0113763634318876
2.8748,2.7188,2.7968,0.331897230807833,0.0114330385045166
2.8751,2.7191,2.7971,0.333542241518072,0.0114897050538117
2.8754,2.7191,2.79725,0.335187257743649,0.0115463717930967
2.8763,2.7194,2.79785,0.336832515883378,0.0116030468657257
2.8763,2.7198,2.79805,0.338477768506958,0.011659721748337
2.8769,2.7201,2.7985,0.340123026646687,0.0117163968209659
2.8776,2.7204,2.799,0.341768284786415,0.0117730718935949
2.8779,2.7204,2.79915,0.343413537409995,0.0118297467762062
2.8785,2.7207,2.7996,0.345058795549724,0.0118864218488351
2.8788,2.7207,2.79975,0.346704048173304,0.0119430967314464
